accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
4,1,1,1,99,2,365,13
4,1.5,2,2,105,1,1125,0
4,1,2,3,125,1,1125,1
2,1,1,1,44,2,1125,4
2,1,0,1,67,1,6,2
1,1,1,1,43,1,1125,0
1,1,1,1,30,1,1,1
7,1.5,3,4,192,1,1125,3
2,1,1,1,46,2,100,4
2,1,1,1,95,3,1125,0
7,2.5,3,3,175,3,1125,0
2,1,1,1,65,1,160,27
3,1,1,1,79,1,1125,5
1,,1,1,99,2,730,7
1,,1,1,99,2,730,4
6,2,3,3,299,2,29,25
2,1,1,2,135,1,1125,1
2,1,1,1,59,2,1125,26
3,1.5,1,2,94,2,31,15
4,1,1,2,99,1,31,18
2,2,1,1,70,2,1125,14
5,1,2,2,140,2,1125,11
4,1,1,2,95,1,1125,0
4,1,1,2,71,2,1125,27
2,1,1,1,74,1,1125,3
2,1.5,1,1,129,3,1125,11
2,1,1,1,150,1,4,0
2,1,1,1,70,1,1125,4
3,1,1,1,60,1,1125,6
2,1.5,1,1,79,1,32,7
2,1,1,1,79,1,1125,75
2,1,1,1,120,2,15,8
2,1,1,1,75,2,90,8
2,1,1,1,120,3,16,19
8,4,4,5,350,1,15,20
2,1,1,1,85,1,3,5
